original_id	work_title	work_authors	file_format	file_size	number_of_access	original_source
Feitos de Mem de Sá|Pe. José de Anchieta	Feitos de Mem de Sá	Pe. José de Anchieta	.pdf	179,55              KB	4.531	[ua] Universidade da Amazônia - UNAMA
Felicidade pelo Casamento|Machado de Assis	Felicidade pelo Casamento	Machado de Assis	.pdf	127,98              KB	16.498	[fs] Universidade Federal de Santa Catarina - UFSC
Feliz|Auta de Sousa	Feliz	Auta de Sousa	.pdf	35,51              KB	737	[wk] Wikipédia, a enciclopédia livre
Fernando e Fernanda|Machado de Assis	Fernando e Fernanda	Machado de Assis	.pdf	105,30              KB	7.489	[fs] Universidade Federal de Santa Catarina - UFSC
Ficções do interlúdio: para além do outro oceano de Coelho Pacheco.|Fernando Pessoa	Ficções do interlúdio: para além do outro oceano de Coelho Pacheco.	Fernando Pessoa	.pdf	44,41              KB	45.330	[vo] Colaboração Voluntária
Filmer|H.G. Wells	Filmer	H.G. Wells	.pdf	127,76              KB	3.441	[ln] The Literature Network
Filomena Borges|Aluísio Azevedo	Filomena Borges	Aluísio Azevedo	.pdf	310,67              KB	1.887	[ua] Universidade da Amazônia - UNAMA
Filomena Borges|Aluísio Azevedo	Filomena Borges	Aluísio Azevedo	.pdf	442,78              KB	1.938	[bi] Biblioteca Virtual de Literatura
Filomena Borges|Aluísio Azevedo	Filomena Borges	Aluísio Azevedo	.pdf	556,24              KB	3.409	[bn] Fundação Biblioteca Nacional
Filosofia de um par de botas|Machado de Assis	Filosofia de um par de botas	Machado de Assis	.pdf	84,22              KB	9.302	[fs] Universidade Federal de Santa Catarina - UFSC
Fio Partido|Auta de Sousa	Fio Partido	Auta de Sousa	.pdf	34,24              KB	641	[wk] Wikipédia, a enciclopédia livre
Flor anônima|Machado de Assis	Flor anônima	Machado de Assis	.pdf	73,90              KB	6.032	[fs] Universidade Federal de Santa Catarina - UFSC
Flor de Sangue|Valentim Magalhães	Flor de Sangue	Valentim Magalhães	.pdf	340,38              KB	1.975	[ua] Universidade da Amazônia - UNAMA
Flor de pitanga|William Henrique Stutz	Flor de pitanga	William Henrique Stutz	.pdf	203,26              KB	676	[ea] Edição do Autor
Flor do Campo|Auta de Sousa	Flor do Campo	Auta de Sousa	.pdf	40,50              KB	759	[wk] Wikipédia, a enciclopédia livre
Flores|Auta de Sousa	Flores	Auta de Sousa	.pdf	34,33              KB	543	[wk] Wikipédia, a enciclopédia livre
Flores da Noite|Lycurgo José Henrique de Paiva	Flores da Noite	Lycurgo José Henrique de Paiva	.pdf	194,33              KB	1.491	[ua] Universidade da Amazônia - UNAMA
