original_id	goodreads_id
Bosquejo da história da poesia e língua portuguesa|Almeida Garrett	12059667
Branca de Rossis|José Agostinho de Macedo	37605767
Brasil : radiografia de um modelo|Nelson Werneck Sodré	18624161
Brasil nos arquivos britânicos e irlandeses|Oliver Marshall;Esther Caldas Bertoletti	7351576
Brazil and the Monroe doctrine|Dunshee de Abranches	39614757
Brazil in 1912|J. C. Oakenfull	26275193
Brazil, the home for Southerners: or, A practical account of what the author, and others, who visited that country, for the same objects, saw and did while in that Empire.|Ballard S. Dunn	51351116
Bruno Ragaz|Théo Filho; Theotônio Filho	9737953
Calvário de mulher|Maria Feio	37605136
Camilo inédito|Camilo Castelo Branco;Visconde de Vila Moura	32345267
Camilo Pessanha|Paulo Elias Allane Franchetti	35119782
Camilo Pessanha e o Tao Te Ching|Paulo de Tarso Cabrini Júnior	55729473
Camilo, Eça e Malheiro Dias|Fialho de Almeida	23629044
Caminhos Cruzados|Érico Veríssimo	3201301
Camões e a fisionomia espiritual da Pátria|Leonardo Coimbra	19403251
Camões e o amor|Ernesto Pires	20497029
Camões e o sentimento nacional|Teófilo Braga	23269264
Camões e Os lusíadas|Francisco Evaristo Leoni	9756414
Camões: estudo histórico-poético|Castilho	41775139
Campanha abolicionista no Recife|Joaquim Nabuco	26137994
Campo de flores|Teófilo Braga;João de Deus	6384091
Canaã|Graça Aranha	6215822
Cancioneiro chinês|António Feijó	12825995
Cancioneiro da Ajuda|autor anônimo ou sem autoria;Carolina Michaëlis de Vasconcelos	10271670
Cancioneiro de João de Lemos|João de Lemos	39425954
Cancioneiro geral|Garcia de Resende	12296345
Cancioneiro geral, continuação ao de Garcia de Resende|Francisco Child Rolim de Moura;autor anônimo ou sem autoria;Teófilo Braga;Fernão Corrêa;Gabriel Pereira de Castro;Francisco de Sá de Menezes;Dom Francisco de Portugal;Dom Manuel de Portugal;João de Almeida Portugal;António Francisco Barata;Dom João Manuel;Diogo de Tovar;Manoel Pereira de Ocem;Henrique de Almeida;Dom Fernando da Cunha;Henrique I de Portugal;Dom Luiz Lobo da Silveira;Dom Simão da Silveira;Jorge da Silva;Dom Jerônimo Coutinho;Conde da Vidigueira;Conde da Castanheira;Dom Álvaro de Abranches;Martim de Castro do Rio;Jorge Dias Cardoso;D. S. A. G. D.;Dom Nuno de Mendonça;Pero da Costa;Jorge Furtado;Álvaro de Luna;Bernando da Mota;Luiz Saraiva de Lucena;Simão Fernandes de Tavira;Luiz Mendes de Vasconcelos	32346187
Cancioneiro popular|autor anônimo ou sem autoria;Teófilo Braga	28381707
Cancioneiro popular angolano|autor anônimo ou sem autoria;Gonzaga Lambo	49628131
Cancioneiro popular de modinhas brasileiras|Catulo da Paixão Cearense	10318824
Cancioneiro português da Vaticana|Teófilo Braga	40456843
Canções populares de Nova Lisboa|autor anônimo ou sem autoria;Alfredo Margarido;Eduardo Bela Sebastião;Romeu;Boavida;Mutambo;Fernando Tchikambi;Mulambo;Judite Piedade	49599352
Canções sem metro|Raul Pompeia	18686703
Cantadores e poetas populares|Francisco das Chagas Batista	15516837
Cantigas de Martin Codax|Martim Codax	36441552
Cantos do fim do século|Sílvio Romero	37983698
Cantos do inverno|Jerônimo Simões	38006100
Cantos e lamentos|J. S. da Silva Ferraz	31966486
Cantos e sátiras|Bulhão Pato	41264571
Cantos matutinos|Gomes de Amorim	39430348
Cantos populares do Brasil|Sílvio Romero	38199165
Cantos sagrados|Manuel de Arriaga	27996692
Capitalismo e revolução burguesa no Brasil|Nelson Werneck Sodré	9971527
Carapuças|Artur Azevedo, Artur de Azevedo	3284203
Caricatura dos tempos|Belmonte	35404095
Carlos reduzido, Inglaterra ilustrada|Pedro de Azevedo Tojal	42325513
Carlota Ângela|Camilo Castelo Branco	9808778
Carta a El-Rei D. Manuel|Pero Vaz de Caminha	12065335
Carta de guia de casados|Francisco Manoel de Mello	4698221
Carta de J. A. D. M. seu amigo J. J. P. L.|José Agostinho de Macedo	12848877
Cartas a Luísa|Maria Amália Vaz de Carvalho	6395198
Cartas andradinas|Martim Francisco Ribeiro de Andrada, 1º;José Bonifácio;Antônio Carlos Ribeiro de Andrada Machado e Silva	30248950
Cartas de A. Herculano|Alexandre Herculano	41846008
Cartas de Antero de Quental|Antero de Quental	36067866
Cartas de Inglaterra|Rui Barbosa	31627307
Cartas do Solitário|Tavares Bastos	37432761
Cartas e diário|Florbela Espanca;Rui Guedes	1094816
Cartas filosóficas a Ático|José Agostinho de Macedo	17832090
Cartas fluminenses|Machado de Assis	22299198
Cartas políticas e literárias|Rui Barbosa	42054147
Cartas sertanejas|Júlio Ribeiro	15174109
Cartas sobre a educação da mocidade|A. N. Ribeiro Sanches	26146393
Carteira do artista|Sousa Bastos	41899615
Cartilha maternal ou arte de leitura|João de Deus;Cândido J. A. de Madureira, Abade de Arcozelo	26184099
Casa de alvenaria|Carolina de Jesus	30286172
Casos do Romualdo|Simões Lopes Neto	17310841
Castilho e Quental|Augusto Malheiro Dias	30022429
Castrioto lusitano|Caetano Lopes;Frei Rafael de Jesus	42136632
Causas da decadência dos povos peninsulares nos últimos três séculos|Antero de Quental	8187443
Cavar em ruínas|Camilo Castelo Branco	52290585
Celajes|Múcio Teixeira	9974816
Cem artigos de jornal|Sousa Viterbo;Alfredo da Cunha	41845582
Cem cartas de Camilo|Camilo Castelo Branco;L. Xavier Barbosa	39526395
Cenas de viagem|Visconde de Taunay	57610699
Censura das Lusíadas|José Agostinho de Macedo	37447800
Cervantes e Portugal|Carlos Barroso	39073067
Céu em fogo|Mário de Sá-Carneiro	922596
Choros ao violão|Gonçalves Dias;Paulo Eiró;Antônio Lamego;Tobias Barreto;Catulo da Paixão Cearense;autor anônimo ou sem autoria	25292903
Cidades mortas|Monteiro Lobato	6072729
Clã do jaboti|Mário de Andrade	34874383
Claridades do Sul|Gomes Leal	24864331
Clotilde, ou O triunfo do amor materno|José Agostinho de Macedo	10409365
Coisas espantosas|Camilo Castelo Branco	15720755
Comédia aulegrafia|Jorge Ferreira de Vasconcelos	11183174
Comédia do campo|Teixeira de Queiroz	45490365
Comédia do viúvo|Gil Vicente	12060254
Comentários da semana|Machado de Assis	27731331
Como eu atravessei África|Serpa Pinto	21856748
Compêndio da história portuguesa|Tibúrcio Antônio Craveiro	32351786
Compêndio de história da literatura brasileira|João Ribeiro;Sílvio Romero	27254494
Complemento dos inéditos de Alexandre de Gusmão|Alexandre de Gusmão	37454822
Composições poéticas|Curvo Semedo	42138050
Composições várias|Alexandre Herculano	37603556
Consciencialização na literatura caboverdiana|Onésimo Silveira	25097509
Contos amazônicos|Inglês de Souza	20879234
Contos de N'Nori|Carlos-Edmilson M. Vieira	18274871
Contos e fantasias|Maria Amália Vaz de Carvalho	21896994
Contos em verso|Artur Azevedo, Artur de Azevedo	20879166
Contos em viagem|João de Andrade Corvo	34406661
Contos novos|Mário de Andrade	3377671
Contos para a infância|autor anônimo ou sem autoria;Guerra Junqueiro	18539148
Contos paraenses|Marques de Carvalho	35365548
Contos populares do Brasil|Sílvio Romero;autor anônimo ou sem autoria;Teófilo Braga	7707610
Contos populares portugueses|autor anônimo ou sem autoria;F. Adolfo Coelho	8541756
Contos sem pretensão|Luís Guimarães Júnior	27703273
Contos tradicionais do povo português|autor anônimo ou sem autoria;Teófilo Braga	18346556
Controvérsias e estudos literários|Silva Pinto	41896996
Corografia brasílica|Manuel Aires de Casal	40445981
Correio da roça|Júlia Lopes de Almeida	3640811
