original_id	work_title	work_authors	authors_lifetime	work_publication_year	work_category	file_format	notes	original_source
O Guardador de Rebanhos|Pessoa, Fernando	O Guardador de Rebanhos	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
O Banqueiro Anarquista|Pessoa, Fernando	O Banqueiro Anarquista	Pessoa, Fernando	1888-1935		Contos	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
Poemas Traduzidos|Pessoa, Fernando	Poemas Traduzidos	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Jornal de Poesia	Portal Domínio Público
Poemas de Álvaro de Campos|Pessoa, Fernando	Poemas de Álvaro de Campos	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Jornal de Poesia	Portal Domínio Público
Poemas de Álvaro de Campos|Pessoa, Fernando	Poemas de Álvaro de Campos	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Jornal de Poesia	Portal Domínio Público
Poemas Inconjuntos|Pessoa, Fernando	Poemas Inconjuntos	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
Poemas em Inglês|Pessoa, Fernando	Poemas em Inglês	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
Poemas de Ricardo Reis|Pessoa, Fernando	Poemas de Ricardo Reis	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Jornal de Poesia	Portal Domínio Público
Poemas de Álvaro de Campos|Pessoa, Fernando	Poemas de Álvaro de Campos	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
Poemas de Ricardo Reis|Pessoa, Fernando	Poemas de Ricardo Reis	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
Primeiro Fausto|Pessoa, Fernando	Primeiro Fausto	Pessoa, Fernando	1888-1935		Poesia	PDF	Fonte Original: Pessoa Revisitado	Portal Domínio Público
Mensagem|Pessoa, Fernando	Mensagem	Pessoa, Fernando	1888-1935	2013	Poesia	EPUB		Nativos Digitais Lêem +
Poesia de Fernando Pessoa|Pessoa, Fernando	Poesia de Fernando Pessoa	Pessoa, Fernando	1888-1935	2013	Poesia	EPUB		Nativos Digitais Lêem +
Poesia de Álvaro de Campos|Pessoa, Fernando	Poesia de Álvaro de Campos	Pessoa, Fernando	1888-1935	2013	Poesia	EPUB		Nativos Digitais Lêem +
Poesia de Ricardo Reis|Pessoa, Fernando	Poesia de Ricardo Reis	Pessoa, Fernando	1888-1935	2013	Poesia	EPUB		Nativos Digitais Lêem +
Poesia de Alberto Caeiro|Pessoa, Fernando	Poesia de Alberto Caeiro	Pessoa, Fernando	1888-1935	2013	Poesia	EPUB		Nativos Digitais Lêem +
O Banqueiro Anarquista|Pessoa, Fernando	O Banqueiro Anarquista	Pessoa, Fernando	1888-1935	2013	Contos	EPUB e MOBI		Projecto Adamastor
Mensagem|Pessoa, Fernando	Mensagem	Pessoa, Fernando	1888-1935	2013	Poesia	EPUB e MOBI		Projecto Adamastor
Através dos Campos|Picão, José da Silva	Através dos Campos	Picão, José da Silva	1859-1922	1947	Monografia	PDF		Biblioteca Digital do Alentejo
A Situação Política|Pimenta, Alfredo	A Situação Política	Pimenta, Alfredo	1882-1950	1918	Ensaio  Política	HTML, EPUB, MOBI e TXT		Project Gutenberg
